Anna Parker,1881.91,13
Janice West,104.94,37
Catherine Myers,82.94,26
Laura James,207.81,83
Sandra Fox,109.73,31
Alice Frazier,71.20,21
Rose Morrison,262.06,87
Janice Young,69.67,16
Janet Pierce,150.66,58
Julia Cunningham,244.11,88
Andrea Austin,25.76,6
Marilyn Alvarez,691.51,245
Janet Pierce,328.80,113
Ruby Fox,36.30,13
Judy Gonzalez,50.19,16
Amy Burns,227.89,95
Michelle Snyder,211.11,76
Ashley Reid,162.84,49
Jennifer Mills,84.13,33
Jean Moore,57.65,20
Maria Marshall,2691.90,20
Diana Mason,251.05,93
Janet Ellis,17.99,4
Christine Andrews,51.66,17
Amy Burns,43.25,15
Judy Gonzalez,115.69,34
Judith Lane,154.07,58
Jean Bryant,55.53,16
Christine Gomez,198.62,60
Maria Berry,126.29,37
Bonnie Elliott,40.20,10
Ann Simpson,56.15,16
Katherine Lane,46.37,10
Debra Perez,1730.52,56
Mary Burton,162.25,59
Margaret Larson,34.37,7
Lisa Rice,77.39,24
Diana George,33.57,7
Martha Reid,163.67,54
Linda Gonzalez,40.78,14
Lillian Alexander,328.50,95
Alice Frazier,541.12,5
Christine Morgan,232.05,91
Mildred James,32.70,9
Carolyn Reyes,107.82,32
Christine Andrews,438.98,92
Debra Mcdonald,33.23,8
Anna Pierce,24.20,9
Rachel Warren,87.75,25
Amanda Hamilton,70.89,20
Lisa Anderson,1399.68,20
Patricia Thomas,68.41,24
Helen Nelson,68.40,26
Mildred Holmes,113.23,83
Carol Payne,19.42,1
Christine Andrews,40.75,9
Rebecca Griffin,321.93,113
Jean Ellis,209.93,77
Nicole George,514.65,192
Gloria Wells,99.96,25
Judy Patterson,323.86,98
Joyce Stephens,202.50,62
Amy Burns,27.66,9
Diane Ramos,147.48,53
Judith Miller,115.25,43
Kathleen Owens,33.84,6
Marilyn Alvarez,231.13,75
Angela Hudson,269.78,78
Ruby Fox,12.08,7
Nicole Gomez,71.77,23
Mildred James,74.09,29
Ann Jacobs,219.59,77
Keith Little,18.16,3
Julie Thomas,52.86,12
Jennifer Banks,33.86,10
Betty Woods,419.78,145
Dorothy Mills,34.13,6
Jennifer Banks,11.56,1
Ruby Fox,54.10,17
Barbara Wagner,45.35,12
Rebecca Patterson,348.85,87
Jacqueline Freeman,36.35,8
Brenda Stephens,10.78,3
Christina Olson,142.74,46
Sandra Butler,157.08,58
Lori Harrison,92.30,35
Diane Mccoy,30.96,8
Joyce Stephens,43.41,20
Virginia Hansen,2804.28,61
Debra Perez,30.40,12
Christine Turner,426.27,187
Lois Dunn,35.48,13
Bonnie Clark,98.65,36
Nicole Coleman,69.94,21
Mary Schmidt,154.34,52
Jean Hunter,2195.33,31
Christine Andrews,170.25,51
Brenda Hansen,26.78,6
Ann Taylor,16.85,4
Marie Taylor,2696.65,25
Barbara Perkins,19.90,5
Anna Parker,22.60,7
Barbara Ellis,23.22,3
Susan Reynolds,315.65,119
Louise Gray,282.94,94
Dorothy Moreno,58.59,16
Jean Hunter,364.35,111
Kathleen Owens,194.74,82
Catherine Ross,265.83,92
Kathryn Murray,14.65,4
Brenda Frazier,444.99,152
