order_id,order_date,status,customer_id,email,address,city,state,postalcode,num_watermelons,num_othermelons,subtotal,tax,order_total
2,05/10/2014,New,860,teresa@thoughtstorm.edu,91520 Spaight Street,San Francisco,KY,23769-1104,105,0,312.00,18.72,339.31
7,05/18/2014,Out for Delivery,445,christina@shufflester.org,4 Sullivan Road,Rio Vista,GA,59830,40,0,100.75,6.04,111.38
13,04/29/2014,Canceled,395,debra@zoombeat.info,9238 Westport Road,Fowler,MN,57326,18,0,42.00,2.52,46.97
23,05/14/2014,Out for Delivery,369,michelle@jazzy.biz,248 Hanson Court,Pittsburg,WA,66847-3501,0,7,17.50,1.05,29.16
24,05/14/2014,New,416,jean@fivechat.mil,7 Mifflin Park,Santa Clara,CA,83369,9,8,31.00,1.86,49.27
25,04/23/2014,New,676,teresa@rhyloo.mil,490 Barby Trail,Clovis,NJ,69251,15,3,37.47,2.25,44.69
27,05/06/2014,Processing,539,nicole@quinu.mil,127 Farwell Point,Lodi,WA,32783-6305,14,0,39.00,2.34,54.44
28,05/11/2014,New,683,kathy@wordtune.gov,10 Schlimgen Junction,Cloverdale,IA,37300-7627,0,6,15.00,0.90,21.83
32,05/01/2014,Canceled,201,mary@dynabox.name,6 Emmet Hill,Lafayette,WA,20160-2430,59,9,150.75,9.04,178.16
36,05/14/2014,Processing,404,rebecca@npath.org,6 Golden Leaf Trail,San Juan Bautista,AR,71496-0707,93,16,298.65,17.92,334.14
37,05/18/2014,New,581,sandra@plajo.org,09243 Manitowish Street,Banning,IA,57726,14,6,51.50,3.09,63.19
41,04/24/2014,Out for Delivery,286,sarah@jabbersphere.com,67 Mitchell Way,Montclair,CT,38332-3428,31,7,83.50,5.01,107.67
53,05/15/2014,New,565,tina@topicshots.edu,53094 Kinsman Junction,Lompoc,DE,00351,8,0,20.00,1.20,24.41
59,05/07/2014,New,310,andrea@myworks.info,7 Sage Avenue,Apple Valley,CO,28877,61,70,223.80,13.43,252.47
61,05/12/2014,Canceled,508,sarah@tagtune.info,09 Lindbergh Center,Yreka,MI,56736-7605,165,0,448.00,26.88,477.18
64,05/14/2014,Out for Delivery,9,betty@trilia.mil,65803 Superior Road,Irwindale,WI,99680-7568,7,70,299.00,17.94,330.93
66,05/07/2014,Canceled,474,lillian@realcube.mil,2516 Donald Alley,Williams,AL,68161,28,0,69.75,4.18,86.75
67,05/02/2014,New,382,joyce@feedfire.edu,17 Myrtle Crossing,Patterson,NH,24053,10,0,40.00,2.40,51.96
76,05/11/2014,Canceled,41,ruth@omba.mil,496 Stone Corner Center,San Juan Capistrano,HI,82749-1228,20,0,52.75,3.17,72.98
77,04/25/2014,Out for Delivery,690,amy@skipstorm.biz,2 Alpine Road,Encinitas,OH,10334-1837,7,0,17.50,1.05,21.14
78,05/16/2014,Out for Delivery,811,betty@feedmix.mil,14 Coleman Terrace,Mill Valley,IN,58118-6924,15,0,44.50,2.67,66.24
80,04/23/2014,New,92,cynthia@agimba.gov,84 Tennessee Junction,Mission Viejo,FL,64625,7,6,19.94,1.20,30.38
81,05/14/2014,Canceled,860,teresa@thoughtstorm.edu,91520 Spaight Street,San Francisco,KY,23769-1104,116,0,265.25,15.91,300.34
86,05/10/2014,Processing,493,sandra@talane.mil,27 Arizona Parkway,San Rafael,VT,62097,20,0,44.75,2.69,58.40
92,05/05/2014,Canceled,481,deborah@rhyloo.gov,69135 Jenifer Hill,Nevada City,ID,04419,188,0,565.00,33.90,611.72
99,04/30/2014,Delivered,958,carolyn@agimba.info,03817 Forest Run Court,Long Beach,AL,96609,3,1,9.25,0.55,16.34
